feature1,feature2,feature3,target
0.0,0.0,0.0,0
1.5,2.0,0.2,0
3.0,4.0,0.4,0
4.5,6.0,0.6000000000000001,0
6.0,8.0,0.8,0
7.5,0.0,1.0,0
9.0,2.0,1.2000000000000002,0
10.5,4.0,1.4000000000000001,0
12.0,6.0,1.6,0
13.5,8.0,1.8,0
15.0,0.0,2.0,0
16.5,2.0,2.2,0
18.0,4.0,2.4000000000000004,0
19.5,6.0,2.6,1
21.0,8.0,2.8000000000000003,1
22.5,0.0,3.0,0
24.0,2.0,3.2,1
25.5,4.0,3.4000000000000004,1
27.0,6.0,3.6,1
28.5,8.0,3.8000000000000003,1
30.0,0.0,4.0,1
31.5,2.0,4.2,1
33.0,4.0,4.4,1
34.5,6.0,4.6000000000000005,1
36.0,8.0,4.800000000000001,1
37.5,0.0,5.0,1
39.0,2.0,5.2,1
40.5,4.0,5.4,1
42.0,6.0,5.6000000000000005,1
43.5,8.0,5.800000000000001,1
45.0,0.0,6.0,1
46.5,2.0,6.2,1
48.0,4.0,6.4,1
49.5,6.0,6.6000000000000005,1
51.0,8.0,6.800000000000001,1
52.5,0.0,7.0,1
54.0,2.0,7.2,1
55.5,4.0,7.4,1
57.0,6.0,7.6000000000000005,1
58.5,8.0,7.800000000000001,1
