customer_id,gender,senior_citizen,partner,tenure,internet_service,contract_type,payment_method,monthly_charges,total_charges,support_calls,age,income,signup_date,churn
CUST-00001,Male,1,Yes,9,Fiber optic,Month-to-month,Bank transfer,120.0,1046.13,3.0,48.0,38015.0,2018-10-20,No
CUST-00002,Male,0,No,2,Fiber optic,Two year,Credit card,82.06,174.59,1.0,40.0,37344.0,2023-12-23,No
CUST-00003,Male,0,Yes,1,DSL,Month-to-month,Bank transfer,46.1,18.63,2.0,51.0,16690.0,2020-02-04,No
CUST-00004,Male,1,No,2,Fiber optic,One year,Electronic check,75.44,113.9,3.0,63.0,40213.0,2023-04-09,No
CUST-00005,Male,0,Yes,20,Fiber optic,One year,Electronic check,118.42,2334.4,2.0,38.0,76091.0,2024-02-04,No
CUST-00006,Male,0,No,1,,One year,Bank transfer,119.89,145.06,1.0,38.0,22821.0,2021-05-01,No
CUST-00007,Male,0,No,9,DSL,Two year,Electronic check,47.74,424.82,1.0,64.0,91958.0,2022-12-10,No
CUST-00008,Female,0,No,33,DSL,Month-to-month,Bank transfer,72.6,2374.38,0.0,52.0,65687.0,2019-09-16,Yes
CUST-00009,Female,0,No,8,Fiber optic,Month-to-month,Mailed check,22.12,190.03,0.0,35.0,31554.0,2020-06-16,No
CUST-00010,Male,0,No,34,Fiber optic,Month-to-month,Electronic check,89.74,3030.43,1.0,49.0,45029.0,2021-07-19,No
CUST-00011,Female,1,Yes,32,Fiber optic,Month-to-month,Bank transfer,111.6,3627.53,0.0,35.0,127898.0,2023-06-16,Yes
CUST-00012,Male,0,Yes,6,DSL,One year,Bank transfer,66.19,348.45,4.0,35.0,76124.0,2021-12-25,No
CUST-00013,Male,1,No,31,Fiber optic,Month-to-month,Bank transfer,44.98,1385.03,2.0,45.0,49279.0,2018-02-21,No
CUST-00014,Male,0,Yes,33,DSL,Two year,Mailed check,75.8,2431.16,1.0,18.0,42505.0,2019-12-16,No
CUST-00015,Female,0,No,12,DSL,One year,Electronic check,77.52,912.9,2.0,18.0,51326.0,2023-07-20,No
CUST-00016,Male,0,Yes,5,Fiber optic,Month-to-month,Mailed check,67.43,253.17,0.0,34.0,36060.0,2019-07-17,No
CUST-00017,Male,0,Yes,17,Fiber optic,Month-to-month,Credit card,70.36,1233.44,0.0,27.0,15000.0,2020-05-12,Yes
CUST-00018,Female,0,No,61,Fiber optic,Month-to-month,Bank transfer,59.79,3685.52,3.0,46.0,166926.0,2020-07-01,No
CUST-00019,Female,0,No,24,DSL,Two year,Credit card,94.88,2316.33,0.0,29.0,53808.0,2018-12-28,No
CUST-00020,Male,0,Yes,4,Fiber optic,One year,Electronic check,87.09,349.8,1.0,22.0,62248.0,2020-03-30,No
CUST-00021,Male,0,Yes,27,Fiber optic,Month-to-month,Credit card,35.51,914.78,4.0,62.0,47346.0,2023-03-31,No
CUST-00022,Female,0,No,13,Fiber optic,Month-to-month,Bank transfer,34.68,410.82,4.0,38.0,31537.0,2023-06-13,Yes
CUST-00023,Male,0,Yes,21,DSL,Month-to-month,Credit card,57.37,1281.28,3.0,42.0,43846.0,2021-09-23,No
CUST-00024,Male,0,Yes,31,Fiber optic,Month-to-month,Electronic check,87.11,2772.19,0.0,22.0,18776.0,2022-05-10,No
CUST-00025,Female,0,No,17,Fiber optic,One year,Mailed check,69.44,1186.61,1.0,34.0,192192.0,2021-06-06,No
CUST-00026,Female,0,Yes,40,Fiber optic,One year,Bank transfer,45.71,1802.62,0.0,43.0,23371.0,2018-04-14,No
CUST-00027,Male,0,Yes,30,No,Month-to-month,Bank transfer,72.85,2253.93,1.0,25.0,26392.0,2022-06-21,No
CUST-00028,Female,0,No,22,No,Two year,Electronic check,55.08,1177.03,1.0,47.0,37640.0,2024-05-23,No
CUST-00029,Female,0,No,3,Fiber optic,Month-to-month,Electronic check,91.41,285.67,0.0,33.0,106175.0,2019-06-18,Yes
CUST-00030,Male,0,No,43,,Month-to-month,Bank transfer,74.99,3292.17,2.0,,,2024-04-20,Yes
CUST-00031,Male,0,No,65,DSL,One year,Credit card,55.54,3568.28,0.0,33.0,23349.0,2024-05-26,No
CUST-00032,Male,0,No,3,DSL,Month-to-month,Mailed check,71.95,257.31,5.0,67.0,104047.0,2018-11-28,Yes
CUST-00033,Female,1,No,16,Fiber optic,Month-to-month,Mailed check,104.45,,0.0,41.0,76008.0,2023-12-10,No
CUST-00034,Female,0,Yes,7,No,One year,Credit card,47.91,333.39,5.0,27.0,67714.0,2022-05-02,Yes
CUST-00035,Male,0,No,33,Fiber optic,Month-to-month,Bank transfer,77.08,2493.97,0.0,53.0,75315.0,2020-12-28,No
CUST-00036,Female,0,Yes,30,DSL,Month-to-month,Mailed check,62.89,1850.48,0.0,24.0,206203.0,2020-03-18,No
CUST-00037,Female,1,Yes,3,Fiber optic,One year,Electronic check,77.81,247.9,1.0,44.0,181871.0,2022-01-15,Yes
CUST-00038,Male,0,No,50,DSL,Month-to-month,Bank transfer,45.36,2196.83,0.0,18.0,32466.0,2023-05-29,No
CUST-00039,Female,0,Yes,4,Fiber optic,Month-to-month,Mailed check,68.31,,2.0,23.0,129875.0,2018-03-21,Yes
CUST-00040,Female,0,Yes,38,DSL,Month-to-month,Electronic check,98.23,3759.79,,44.0,61691.0,2021-06-08,Yes
