house_id,house_size,bedrooms,bathrooms,lot_size,year_built,stories,garage_cars,location,condition,has_pool,sale_date,price
H-0001,2098,4,2.0,3833.0,1994.0,2,0.0,Suburbs,Excellent,No,2024-01-08,439011
H-0002,1717,6,2.5,5476.0,2007.0,1,0.0,Industrial,Good,No,2023-12-13,180535
H-0003,2188,3,2.0,6344.0,2005.0,1,1.0,Downtown,Average,No,2023-01-29,484366
H-0004,2713,5,3.0,9425.0,2003.0,2,1.0,Rural,Average,No,2020-01-03,311799
H-0005,1659,3,3.0,5552.0,1978.0,2,2.0,Suburbs,Average,No,2021-12-20,300945
H-0006,1659,3,2.0,5081.0,2003.0,2,2.0,Suburbs,Fair,No,2022-11-30,266806
H-0007,2747,2,2.0,10894.0,1976.0,1,2.0,Waterfront,Poor,No,2022-07-04,462948
H-0008,2260,2,2.0,6404.0,1994.0,1,2.0,Industrial,,No,2023-10-06,271308
H-0009,1518,4,3.0,2706.0,1980.0,2,1.0,Suburbs,Good,No,2023-10-02,309750
H-0010,2125,3,1.0,,1985.0,2,0.0,Industrial,Good,No,2022-09-29,193763
H-0011,1521,3,1.0,3239.0,2010.0,2,3.0,Rural,Average,Yes,2020-02-06,163629
H-0012,1520,4,3.0,5233.0,1986.0,1,2.0,Industrial,Average,Yes,2021-09-10,184586
H-0013,1945,3,2.5,7571.0,2016.0,2,2.0,Suburbs,Fair,No,2021-01-18,319253
H-0014,652,4,1.5,2113.0,1985.0,3,1.0,Industrial,Good,No,2021-07-21,79602
H-0015,765,3,2.0,2287.0,1954.0,1,2.0,Waterfront,Fair,No,2022-10-30,226300
H-0016,1462,4,3.5,3875.0,1995.0,2,0.0,Downtown,Average,No,2020-04-21,354921
H-0017,1192,4,3.5,2873.0,2001.0,2,3.0,Suburbs,Poor,No,2020-02-07,170655
H-0018,1988,3,3.0,4736.0,1998.0,1,2.0,Suburbs,Average,No,2022-01-01,347088
H-0019,1255,3,2.5,3879.0,1955.0,1,0.0,Suburbs,Average,No,2023-08-21,193133
H-0020,952,3,2.5,3216.0,1959.0,2,2.0,Waterfront,Good,No,2020-02-21,285620
H-0021,2679,4,4.0,8562.0,1972.0,1,2.0,Rural,Fair,No,2023-11-22,268190
H-0022,1664,3,4.0,3321.0,1966.0,1,2.0,Rural,Excellent,No,2021-10-04,252820
H-0023,1840,3,2.0,5032.0,1993.0,2,0.0,Suburbs,Average,No,2020-07-16,288125
H-0024,945,2,3.0,3287.0,,1,0.0,Downtown,Excellent,No,2022-08-07,290222
H-0025,1473,3,1.5,3961.0,1964.0,2,1.0,Suburbs,Good,No,2024-05-13,271911
H-0026,1866,3,2.0,5302.0,1993.0,1,1.0,Rural,Good,No,2022-06-27,243762
H-0027,1109,4,3.0,3801.0,2007.0,2,2.0,Downtown,Excellent,No,2023-02-23,387470
H-0028,2025,3,2.0,6385.0,1999.0,2,2.0,Suburbs,Good,No,2023-09-28,363574
H-0029,1439,3,3.5,3631.0,2001.0,2,2.0,Suburbs,Poor,No,2023-08-31,184914
H-0030,1624,4,1.0,6071.0,2019.0,2,3.0,Downtown,Good,Yes,2020-05-02,414200
H-0031,1438,4,2.5,2741.0,2017.0,1,1.0,Suburbs,Fair,No,2023-05-25,252772
H-0032,2911,3,3.5,11611.0,2012.0,2,,Downtown,Good,No,2024-05-08,718647
H-0033,1791,3,3.5,3218.0,2007.0,1,3.0,Industrial,Average,No,2023-03-18,192224
H-0034,1165,3,1.5,1791.0,1972.0,1,2.0,Downtown,Good,No,2023-11-01,288142
H-0035,2293,5,2.0,8541.0,1993.0,2,0.0,Waterfront,Good,No,2022-03-23,646799
H-0036,1067,2,2.5,2253.0,1993.0,3,2.0,Downtown,Excellent,No,2021-06-18,341404
H-0037,1925,5,1.5,6399.0,2001.0,2,1.0,Waterfront,Average,Yes,2023-02-06,512012
H-0038,624,4,4.0,2201.0,,1,2.0,Suburbs,Excellent,No,2022-04-03,250962
H-0039,1003,3,3.5,3658.0,1977.0,3,1.0,Waterfront,Fair,No,2024-02-07,258048
H-0040,1918,1,1.5,7631.0,2016.0,1,2.0,Waterfront,Average,No,2024-06-19,478844
H-0041,2243,3,1.5,5013.0,1967.0,3,2.0,Suburbs,Fair,No,2023-10-04,284897
H-0042,1902,3,1.0,6230.0,,2,1.0,Industrial,Poor,Yes,2024-07-19,100866
H-0043,1730,2,3.5,3094.0,2000.0,2,2.0,Suburbs,Average,Yes,2021-08-06,290827
H-0044,1619,4,1.5,4075.0,2009.0,2,0.0,Rural,Fair,Yes,2024-02-08,127606
H-0045,912,6,2.0,3301.0,2023.0,3,2.0,Suburbs,Good,No,2021-07-06,251618
H-0046,1368,4,2.0,3309.0,1998.0,3,2.0,Industrial,Fair,No,2020-07-16,145903
H-0047,1523,4,2.5,4535.0,1964.0,2,1.0,Waterfront,Good,No,2022-11-06,426198
H-0048,2434,2,1.0,6716.0,2022.0,2,2.0,Downtown,Average,No,2022-01-31,520878
H-0049,2006,3,2.0,6248.0,2017.0,2,1.0,Suburbs,Average,No,2024-03-22,347101
H-0050,742,2,3.5,2917.0,1964.0,2,2.0,Waterfront,Fair,No,2022-04-03,215567
H-0051,1994,4,3.5,3268.0,2000.0,2,3.0,Rural,Fair,No,2024-04-01,256721
H-0052,1568,5,3.0,4601.0,1997.0,1,1.0,Industrial,Excellent,Yes,2020-05-11,219458
H-0053,1393,4,1.0,5094.0,2021.0,2,3.0,Suburbs,Good,No,2023-10-22,299802
H-0054,2167,2,2.0,5858.0,1950.0,3,2.0,Suburbs,Fair,No,2023-06-24,264115
H-0055,2418,3,2.5,,1956.0,3,1.0,Suburbs,Average,No,2023-04-20,326298
H-0056,2358,4,2.0,6841.0,2002.0,1,3.0,Suburbs,Excellent,No,2021-08-17,499773
H-0057,1296,3,3.5,,1980.0,1,0.0,Suburbs,Average,No,2023-08-05,220457
H-0058,1614,4,2.5,3046.0,1967.0,3,,Suburbs,Fair,No,2022-03-20,216482
H-0059,1998,4,1.0,7237.0,1961.0,2,2.0,Downtown,Average,No,2023-04-12,403153
H-0060,2385,4,3.5,6687.0,1997.0,2,2.0,Suburbs,Average,No,2022-07-13,382230
H-0061,1512,3,4.0,5795.0,1979.0,1,2.0,Downtown,Average,Yes,2020-09-20,334274
H-0062,1688,3,1.0,5933.0,1956.0,3,0.0,Rural,Average,No,2020-04-18,146447
H-0063,1136,2,2.5,3672.0,1952.0,1,3.0,Suburbs,Fair,No,2021-09-04,200850
H-0064,1082,3,2.0,1636.0,2012.0,1,2.0,Suburbs,Average,No,2024-04-10,223074
H-0065,2287,3,2.0,5876.0,1955.0,1,,Suburbs,Average,No,2022-06-05,337627
H-0066,2613,4,1.5,5209.0,1964.0,3,1.0,Downtown,Fair,No,2023-09-04,395011
H-0067,1756,4,2.5,6632.0,2020.0,2,2.0,Industrial,Excellent,Yes,2022-08-22,277976
H-0068,2402,2,4.0,4651.0,1992.0,2,3.0,Suburbs,Fair,No,2024-05-22,320916
H-0069,2016,3,2.5,4465.0,1967.0,2,2.0,Waterfront,Average,No,2021-09-10,460534
H-0070,1412,2,1.0,3942.0,1971.0,3,3.0,Suburbs,Poor,No,2020-04-05,125590
H-0071,2016,2,2.5,4351.0,2010.0,2,1.0,Waterfront,Good,No,2023-07-30,466202
H-0072,2722,4,2.0,5511.0,2010.0,2,1.0,Suburbs,Average,No,2023-03-26,444873
H-0073,1778,1,3.5,5329.0,2002.0,3,3.0,Downtown,Fair,Yes,2022-06-02,379168
H-0074,2738,3,2.0,4715.0,1975.0,2,3.0,Waterfront,Average,No,2021-06-30,616313
H-0075,400,2,1.5,658.0,1989.0,2,1.0,Suburbs,Good,No,2020-11-11,112385
H-0076,2293,5,1.5,5573.0,1957.0,3,1.0,Rural,Good,Yes,2022-03-18,294367
H-0077,1852,4,3.0,6114.0,1970.0,2,2.0,Suburbs,Average,No,2023-01-20,338995
H-0078,1620,3,2.0,4676.0,1992.0,2,3.0,Rural,Average,No,2022-08-27,207399
H-0079,1855,3,3.0,4743.0,1970.0,1,2.0,Industrial,Average,No,2022-01-02,197072
H-0080,607,4,2.0,1769.0,1952.0,2,2.0,Industrial,Good,No,2022-06-22,118193
H-0081,1668,5,2.0,4025.0,1980.0,2,2.0,Suburbs,Fair,No,2020-06-29,273203
H-0082,2014,3,2.5,7734.0,1976.0,1,1.0,Suburbs,Average,Yes,2023-03-10,320564
H-0083,2686,5,3.5,4397.0,1976.0,3,3.0,Industrial,Excellent,No,2023-05-14,327910
H-0084,1489,5,3.5,4740.0,2022.0,2,2.0,Waterfront,Excellent,Yes,2020-01-20,594581
H-0085,1314,5,2.0,4898.0,2006.0,2,2.0,Downtown,Average,No,2021-03-28,376805
H-0086,1498,4,2.0,5257.0,1982.0,2,2.0,Suburbs,Average,No,2020-06-03,291946
H-0087,2349,4,1.5,4604.0,1993.0,2,2.0,Downtown,Average,No,2024-07-29,528072
H-0088,1997,3,2.5,4472.0,1992.0,1,2.0,Industrial,Fair,No,2022-09-20,179191
H-0089,1482,4,2.5,4879.0,1980.0,2,3.0,Downtown,Good,Yes,2022-02-18,401472
H-0090,2107,3,3.5,3604.0,2014.0,1,2.0,Suburbs,Poor,No,2022-02-14,251202
H-0091,1858,4,3.5,6558.0,1966.0,1,2.0,Rural,Poor,Yes,2024-06-03,151946
H-0092,2381,3,2.0,7850.0,1964.0,1,0.0,Industrial,Excellent,No,2023-01-09,241884
H-0093,1378,4,2.5,4580.0,1983.0,1,2.0,Waterfront,Fair,No,2020-10-09,349902
H-0094,1603,4,3.5,2806.0,1953.0,2,1.0,Suburbs,Average,No,2022-01-20,291495
H-0095,1564,2,3.0,5152.0,2021.0,2,1.0,Suburbs,Average,No,2023-07-20,262216
H-0096,921,4,1.0,2946.0,1977.0,3,1.0,Industrial,Average,Yes,2021-12-09,127983
H-0097,1977,3,2.0,7072.0,2022.0,2,2.0,Rural,Fair,Yes,2021-06-02,202986
H-0098,1956,4,2.0,3137.0,1951.0,2,3.0,Rural,Poor,No,2024-07-17,138468
H-0099,1803,3,2.0,2808.0,1966.0,2,2.0,Rural,Average,No,2024-04-15,207858
H-0100,1659,3,1.5,4035.0,2007.0,2,1.0,Suburbs,Good,No,2024-04-25,288932
H-0101,950,5,1.0,1778.0,2023.0,2,1.0,Rural,Average,Yes,2020-08-08,163143
H-0102,1547,3,2.5,4480.0,1958.0,2,2.0,Suburbs,Excellent,No,2021-01-27,323408
H-0103,1594,4,2.0,6046.0,1980.0,1,0.0,Suburbs,Average,No,2022-01-10,294740
H-0104,1318,3,1.0,3266.0,2015.0,2,2.0,Waterfront,Fair,No,2023-10-24,341246
H-0105,1703,3,2.0,6151.0,2011.0,2,2.0,Downtown,Good,No,2023-05-18,396513
H-0106,2042,3,3.0,3064.0,1968.0,2,3.0,Suburbs,Excellent,Yes,2023-11-23,399810
H-0107,2931,4,3.5,5631.0,2023.0,3,2.0,Suburbs,Average,Yes,2024-03-21,486076
H-0108,1904,3,2.5,3000.0,2004.0,1,1.0,Downtown,Good,No,2023-07-31,438800
H-0109,1954,1,2.0,4533.0,1977.0,1,2.0,Waterfront,Good,Yes,2021-03-14,423012
H-0110,1755,3,4.0,6617.0,1999.0,2,2.0,Rural,Average,No,2021-04-22,238215
H-0111,648,1,2.0,1129.0,2014.0,3,3.0,Downtown,Poor,No,2021-08-13,98273
H-0112,1784,6,2.0,5380.0,1952.0,2,1.0,Suburbs,Average,No,2021-05-22,313292
H-0113,1836,5,2.0,4826.0,2001.0,2,2.0,Suburbs,Average,No,2021-02-20,346843
H-0114,3277,3,1.5,12603.0,,1,3.0,Downtown,Average,No,2023-06-13,607756
H-0115,1684,4,2.0,3041.0,1970.0,2,1.0,Rural,Good,No,2020-02-26,196207
H-0116,1980,3,3.5,4019.0,1986.0,2,2.0,Suburbs,Fair,Yes,2023-05-04,279034
H-0117,1779,4,2.5,,1964.0,3,1.0,Rural,Average,No,2023-10-10,170732
H-0118,1098,4,2.0,2838.0,2023.0,1,2.0,Downtown,Poor,No,2020-04-20,201070
H-0119,2485,5,3.5,5453.0,1958.0,2,2.0,Suburbs,Poor,No,2020-04-13,284756
H-0120,2251,3,1.0,8271.0,1993.0,2,2.0,Downtown,Good,No,2021-04-22,518754
